reference,name,Digikey PN,Quantity
"J9,J10",MOLEX_FFC-14,WM1442CT-ND,2
D1,D_Photo,475-2579-1-ND,6
U1,OPA380,296-16860-1-ND,6
R1,2K2,P2.2KDCCT-ND,6
C1,0.1uF,445-14401-1-ND,6
